"fishingfleet","time_start","time_end","geographic_identifier","gear_type","fishing_mode","species","measurement","measurement_type","measurement_value","measurement_unit","measurement_obs","source_authority"
"ABW","1970-01-01","1970-12-31","A+M",99.9,"UNK","WAH","catch","landings",100,"t","unknown","ICCAT"
"ABW","1971-01-01","1971-12-31","A+M",99.9,"UNK","WAH","catch","landings",100,"t","unknown","ICCAT"
"ABW","1972-01-01","1972-12-31","A+M",99.9,"UNK","WAH","catch","landings",100,"t","unknown","ICCAT"
"ABW","1973-01-01","1973-12-31","A+M",99.9,"UNK","WAH","catch","landings",100,"t","unknown","ICCAT"
"ABW","1974-01-01","1974-12-31","A+M",99.9,"UNK","WAH","catch","landings",100,"t","unknown","ICCAT"
"ABW","1974-01-01","1974-12-31","ATW",99.9,"UNK","SAI","catch","landings",10,"t","unknown","ICCAT"
"ABW","1975-01-01","1975-12-31","A+M",99.9,"UNK","WAH","catch","landings",100,"t","unknown","ICCAT"
"ABW","1975-01-01","1975-12-31","ATW",99.9,"UNK","SAI","catch","landings",10,"t","unknown","ICCAT"
"ABW","1976-01-01","1976-12-31","A+M",99.9,"UNK","WAH","catch","landings",100,"t","unknown","ICCAT"
"ABW","1976-01-01","1976-12-31","ATW",99.9,"UNK","SAI","catch","landings",20,"t","unknown","ICCAT"
