"Year","Month","SetType","LatC1","LonC1","NumSets","BIL","BLM","BUM","MLS","SFA","SSP","SWO"
1993,1,"DEL",-14.5,-85.5,1,0,0,0,0,0,0,0
1993,1,"DEL",-13.5,-83.5,1,0,0,0,0,0,0,0
1993,1,"DEL",-12.5,-83.5,1,0,0,0,0,0,0,0
1993,1,"DEL",-11.5,-85.5,2,0,0,0,0,0,0,0
1993,1,"DEL",-11.5,-84.5,3,0,0,0,0,0,0,0
1993,1,"DEL",-11.5,-83.5,6,0,0,0,0,0,0,0
1993,1,"DEL",-10.5,-87.5,5,0,0,0,0,0,0,0
1993,1,"DEL",-10.5,-86.5,3,0,0,0,0,0,0,0
1993,1,"DEL",-10.5,-85.5,2,0,0,0,0,0,0,0
1993,1,"DEL",-10.5,-84.5,1,0,0,0,0,0,0,0
