Year,Month,Flag,LatC5,LonC5,Hooks,BSHn,CCLn,FALn,MAKn,OCSn,RSKn,SKHn,SMAn,SPNn,THRn,BSHmt,CCLmt,FALmt,MAKmt,OCSmt,RSKmt,SKHmt,SMAmt,SPNmt,THRmt
1979,1,KOR,-22.5,-127.5,62901,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,KOR,-22.5,-122.5,75482,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,KOR,-17.5,-132.5,41705,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,KOR,-17.5,-127.5,23322,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,KOR,-17.5,-122.5,42136,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,KOR,-12.5,-147.5,26128,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,KOR,-12.5,-142.5,36696,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,KOR,-12.5,-137.5,28070,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,KOR,-12.5,-132.5,51273,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,KOR,-12.5,-127.5,13420,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
