"Year","Month","Flag","LatC1","LonC1","NumSets","BSHn","CCLn","FALn","OCSn","SEPNn","SKHn","SPLn","SPNn","SPZn","THRn","BSHmt","CCLmt","FALmt","OCSmt","SEPNmt","SKHmt","SPLmt","SPNmt","SPZmt","THRmt"
1993,1,"USA",-16.5,-81.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1,"USA",-16.5,-80.5,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1,"USA",-15.5,-81.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1,"USA",-15.5,-80.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1,"USA",-14.5,-83.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1993,1,"USA",-14.5,-82.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1,"USA",-14.5,-81.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1,"USA",-13.5,-86.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1,"USA",-13.5,-84.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1,"USA",-13.5,-82.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
