"source_authority","gear_type","fishing_fleet","fishing_mode","fishing_fleet_label","time_start","time_end","geographic_identifier","gridtype","measurement_value","measurement_unit","measurement_processing_level","measurement"
"IOTC","PS","THA","UNCL","Thailand","2001-01-01","2001-01-01",9000080,"unknown",3,"DAYS","unknown","effort"
"IOTC","PS","THA","UNCL","Thailand","2001-04-01","2001-05-01",9000080,"unknown",33,"DAYS","unknown","effort"
"IOTC","PS","THA","UNCL","Thailand","2005-09-01","2005-09-01",9000000,"unknown",55,"SETS","unknown","effort"
"IOTC","PS","THA","UNCL","Thailand","2001-07-01","2001-07-01",9000080,"unknown",14,"DAYS","unknown","effort"
"IOTC","PS","THA","UNCL","Thailand","2005-11-01","2005-11-01",9000000,"unknown",106,"SETS","unknown","effort"
"IOTC","PS","THA","UNCL","Thailand","2005-10-01","2005-10-01",9000000,"unknown",149,"SETS","unknown","effort"
"IOTC","PS","THA","UNCL","Thailand","2005-12-01","2005-12-01",9000000,"unknown",59,"SETS","unknown","effort"
"IOTC","PSS","MYS","UNCL","Malaysia","2011-01-01","2011-01-01",9000080,"unknown",6882,"FDAYS","unknown","effort"
"IOTC","PSS","MYS","UNCL","Malaysia","2016-02-01","2016-02-01",9000080,"unknown",768.278747291667,"FDAYS","unknown","effort"
"IOTC","PSS","MYS","UNCL","Malaysia","2016-01-01","2016-01-01",9000080,"unknown",794.073892333333,"FDAYS","unknown","effort"
