"yy","mm","lat5","lon5","cwp_grid","days","sets_una","sets_log","sets_dfad","sets_afad","sets_oth","skj_c_una","yft_c_una","bet_c_una","oth_c_una","skj_c_log","yft_c_log","bet_c_log","oth_c_log","skj_c_dfad","yft_c_dfad","bet_c_dfad","oth_c_dfad","skj_c_afad","yft_c_afad","bet_c_afad","oth_c_afad","skj_c_oth","yft_c_oth","bet_c_oth","oth_c_oth"
1967,12,"00N",135,61000013500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,12,"00N",140,61000014000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,12,"05N",130,61050013000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,12,"05S",140,62000014000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,1,"00N",140,61000014000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,1,"05S",140,62000014000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,2,"00N",140,61000014000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,2,"05S",140,62000014000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,11,"00N",135,61000013500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,11,"00N",140,61000014000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
