"Year","Month","SetType","LatC1","LonC1","NumSets","BSHn","CCLn","FALn","OCSn","SEPNn","SKHn","SPLn","SPNn","SPZn","THRn","BSHmt","CCLmt","FALmt","OCSmt","SEPNmt","SKHmt","SPLmt","SPNmt","SPZmt","THRmt"
1993,1,"DEL",5.5,-92.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1,"DEL",5.5,-91.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1,"DEL",5.5,-85.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1,"DEL",6.5,-95.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1,"DEL",6.5,-94.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1,"DEL",6.5,-93.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1,"DEL",6.5,-91.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1,"DEL",6.5,-90.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1,"DEL",6.5,-88.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1,"DEL",7.5,-96.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
