"Fleet","Gear","Year","MonthStart","MonthEnd","iGrid","Grid","Effort","EffortUnits","QualityCode","Source","YFT.NO","YFT.MT","BET.NO","BET.MT","SKJ.NO","SKJ.MT","ALB.NO","ALB.MT","SBF.NO","SBF.MT","LOT.NO","LOT.MT","FRZ.NO","FRZ.MT","KAW.NO","KAW.MT","COM.NO","COM.MT","SWO.NO","SWO.MT","BILL.NO","BILL.MT","TUX.NO","TUX.MT","SKH.NO","SKH.MT","NTAD.NO","NTAD.MT"
"LKA    ","GIOF",2017,9,9,5100051,5100051,1,"TRIPS",3,"LO",NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LKA    ","GIOF",2021,7,7,5100055,5100055,1,"TRIPS",3,"LO",NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LKA    ","GIOF",2021,9,9,5100055,5100055,1,"TRIPS",3,"LO",NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SYC    ","LLCO",2006,3,3,5100055,5100055,814.66,"HOOKS",2,"LO",NA,0.17,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,0.27,NA,NA
"SYC    ","LLCO",2008,9,9,5100055,5100055,1088.84,"HOOKS",2,"LO",NA,NA,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,NA,0.07,NA,NA,NA,0.03,NA,NA
"SYC    ","LLCO",2008,10,10,5100055,5100055,603.71,"HOOKS",2,"LO",NA,0.57,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,NA,NA,NA,NA,NA,NA,NA,NA
"SYC    ","LLCO",2015,7,7,5100055,5100055,1925.82,"HOOKS",2,"LO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,NA,NA,NA,NA,NA,NA,NA,NA
"LKA    ","GIOF",2019,4,4,5100056,5100056,2,"TRIPS",3,"LO",NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SYC    ","LLCO",2006,3,3,5100056,5100056,814.66,"HOOKS",2,"LO",NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA
"SYC    ","LLCO",2008,9,9,5100056,5100056,970.25,"HOOKS",2,"LO",NA,0.2,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,NA,NA,NA,NA,NA,0.07,NA,NA
