"Fleet","Gear","Year","MonthStart","MonthEnd","iGrid","Grid","Effort","EffortUnits","QualityCode","Source","YFT.NO","YFT.MT","BET.NO","BET.MT","SKJ.NO","SKJ.MT","ALB.NO","ALB.MT","SBF.NO","SBF.MT","SWO.NO","SWO.MT","BLM.NO","BLM.MT","BUM.NO","BUM.MT","MLS.NO","MLS.MT","SFA.NO","SFA.MT","SSP.NO","SSP.MT","BILL.NO","BILL.MT","TUX.NO","TUX.MT","BSH.NO","BSH.MT","FAL.NO","FAL.MT","MSK.NO","MSK.MT","OCS.NO","OCS.MT","POR.NO","POR.MT","RSK.NO","RSK.MT","SPY.NO","SPY.MT","THR.NO","THR.MT","SKH.NO","SKH.MT","NTAD.NO","NTAD.MT"
"AUS    ","ELL",1992,2,2,6235140,6235140,600,"HOOKS",3,"LO",3,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS    ","ELL",1992,3,3,6235130,6235130,900,"HOOKS",3,"LO",NA,NA,NA,NA,NA,NA,NA,NA,6,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS    ","ELL",1992,4,4,6230130,6230130,17100,"HOOKS",3,"LO",NA,NA,7,0.37,NA,NA,168,0.9,48,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS    ","ELL",1992,4,4,6235130,6235130,11900,"HOOKS",3,"LO",NA,NA,NA,NA,NA,NA,80,0.36,174,2.29,1,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS    ","ELL",1992,4,4,6235135,6235135,9800,"HOOKS",3,"LO",NA,NA,1,0.05,NA,NA,25,0.28,14,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS    ","ELL",1992,5,5,6230130,6230130,10000,"HOOKS",3,"LO",NA,NA,1,0.06,NA,NA,76,0.7,92,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS    ","ELL",1992,5,5,6230135,6230135,2800,"HOOKS",3,"LO",NA,NA,NA,NA,NA,NA,29,0.15,17,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS    ","ELL",1992,5,5,6235130,6235130,62260,"HOOKS",3,"LO",NA,NA,13,0.72,NA,NA,293,3.29,264,3.71,4,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS    ","ELL",1992,5,5,6235135,6235135,10840,"HOOKS",3,"LO",NA,NA,NA,NA,NA,NA,36,0.32,26,0.38,2,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS    ","ELL",1992,6,6,6230125,6230125,6400,"HOOKS",3,"LO",17,0.42,NA,NA,NA,NA,2,0.02,NA,NA,1,0.09,NA,NA,NA,NA,2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
